X,Y,OBJECTID,SIGN_RGN,SIGN_CNTY,SIGN_RTE,SIGN_TRVL_DRCTN,SIGN_PSTN,SIGN_LTTD,SIGN_LNGTD,MILE_MRKR_DSPL,MILE_MRKR_LABL,LAST_REFRESH_DATE
616063.2249,291077.6351,2148675,Southwest,Jefferson,IH 94,Westbound,Median,43.0863306,-88.81978293,264.200012,IH 94 WB MP 264.2 [JEFFERSON],2025/08/09 05:00:00+00
616386.2417,291040.1823,2148676,Southwest,Jefferson,IH 94,Eastbound,Median,43.08595242,-88.81582173,264.399994,IH 94 EB MP 264.4 [JEFFERSON],2025/08/09 05:00:00+00
628595.8123,291109.503900001,2148677,Southwest,Jefferson,IH 94,Westbound,Median,43.08492612,-88.6658419,272,IH 94 WB MP 272.0 [JEFFERSON],2025/08/09 05:00:00+00
628272.859,291125.1379,2148678,Southwest,Jefferson,IH 94,Westbound,Median,43.08511305,-88.66980546,271.799988,IH 94 WB MP 271.8 [JEFFERSON],2025/08/09 05:00:00+00
628595.1589,291075.6305,2148679,Southwest,Jefferson,IH 94,Eastbound,Median,43.08462127,-88.66585654,272,IH 94 EB MP 272.0 [JEFFERSON],2025/08/09 05:00:00+00
575547.112,300074.481799999,2148680,Southwest,Dane,IH 39,Northbound,Median,43.17139161,-89.31660871,132.800003,IH 39 NB MP 132.8 [DANE],2025/08/09 05:00:00+00
575678.0174,299773.431399999,2148681,Southwest,Dane,IH 39,Southbound,Median,43.16867127,-89.3150286,133,IH 39 SB MP 133.0 [DANE],2025/08/09 05:00:00+00
601943.6128,293609.1117,2148682,Southwest,Jefferson,IH 94,Eastbound,Median,43.11078039,-88.99285217,255,IH 94 EB MP 255.0 [JEFFERSON],2025/08/09 05:00:00+00
587379.9633,293240.3169,2148683,Southwest,Dane,IH 94,Westbound,Median,43.10889519,-89.17187471,246,IH 94 WB MP 246.0 [DANE],2025/08/09 05:00:00+00
601943.3741,293636.1587,2148684,Southwest,Jefferson,IH 94,Westbound,Median,43.11102394,-88.99285111,255,IH 94 WB MP 255.0 [JEFFERSON],2025/08/09 05:00:00+00
605607.5754,293214.3277,2148685,Southwest,Jefferson,IH 94,Westbound,Median,43.10682081,-88.94788751,257.399994,IH 94 WB MP 257.4 [JEFFERSON],2025/08/09 05:00:00+00
588688.3873,293239.8936,2148686,Southwest,Dane,IH 94,Westbound,Median,43.10877388,-89.15579543,246.800003,IH 94 WB MP 246.8 [DANE],2025/08/09 05:00:00+00
587378.6825,293213.2081,2148687,Southwest,Dane,IH 94,Eastbound,Median,43.10865122,-89.17189374,246,IH 94 EB MP 246.0 [DANE],2025/08/09 05:00:00+00
605886.2935,293049.6347,2148688,Southwest,Jefferson,IH 94,Eastbound,Median,43.10530647,-88.94448813,257.600006,IH 94 EB MP 257.6 [JEFFERSON],2025/08/09 05:00:00+00
606754.9198,292656.040999999,2148689,Southwest,Jefferson,IH 94,Eastbound,Median,43.10166384,-88.93387632,258.200012,IH 94 EB MP 258.2 [JEFFERSON],2025/08/09 05:00:00+00
602593.3947,293647.6965,2148690,Southwest,Jefferson,IH 94,Westbound,Median,43.11105723,-88.98486134,255.399994,IH 94 WB MP 255.4 [JEFFERSON],2025/08/09 05:00:00+00
615608.5938,277224.053099999,2148691,Southwest,Jefferson,STH 26,Southbound,Right,42.96166205,-88.82774315,24,STH 26 SB MP 24.0 [JEFFERSON],2025/08/09 05:00:00+00
614965.1758,281556.3171,2148692,Southwest,Jefferson,STH 26,Southbound,Right,43.00074704,-88.83489414,27,STH 26 SB MP 27.0 [JEFFERSON],2025/08/09 05:00:00+00
622903.2432,298113.0595,2148693,Southwest,Jefferson,STH 26,Northbound,Right,43.14877101,-88.73446216,39,STH 26 NB MP 39.0 [JEFFERSON],2025/08/09 05:00:00+00
622165.7042,291199.601,2148694,Southwest,Jefferson,IH 94,Eastbound,Median,43.08663091,-88.74480354,268,IH 94 EB MP 268.0 [JEFFERSON],2025/08/09 05:00:00+00
597042.1574,293420.2151,2148695,Southwest,Dane,IH 94,Eastbound,Median,43.10959397,-89.0531126,252,IH 94 EB MP 252.0 [DANE],2025/08/09 05:00:00+00
610926.0714,291157.6076,2148696,Southwest,Jefferson,IH 94,Westbound,Median,43.08768409,-88.882872,261,IH 94 WB MP 261.0 [JEFFERSON],2025/08/09 05:00:00+00
610926.0826,291105.1493,2148697,Southwest,Jefferson,IH 94,Eastbound,Median,43.0872118,-88.88288044,261,IH 94 EB MP 261.0 [JEFFERSON],2025/08/09 05:00:00+00
611246.8363,291151.927100001,2148698,Southwest,Jefferson,IH 94,Westbound,Median,43.08759441,-88.87893271,261.200012,IH 94 WB MP 261.2 [JEFFERSON],2025/08/09 05:00:00+00
595561.8212,313667.5864,2148699,Southwest,Columbia,USH 151,Northbound,Right,43.29204199,-89.06853498,114,USH 151 NB MP 114.0 [COLUMBIA],2025/08/09 05:00:00+00
623449.6344,291197.192600001,2148700,Southwest,Jefferson,IH 94,Westbound,Median,43.08643514,-88.72903354,268.799988,IH 94 WB MP 268.8 [JEFFERSON],2025/08/09 05:00:00+00
623771.2454,291165.0822,2148701,Southwest,Jefferson,IH 94,Eastbound,Median,43.08610211,-88.72508922,269,IH 94 EB MP 269.0 [JEFFERSON],2025/08/09 05:00:00+00
637413.4572,289588.9812,2148702,Southwest,Jefferson,IH 94,Eastbound,Median,43.06992413,-88.55786581,277.799988,IH 94 EB MP 277.8 [JEFFERSON],2025/08/09 05:00:00+00
636770.4347,289596.9999,2148703,Southwest,Jefferson,IH 94,Westbound,Median,43.07009556,-88.56575964,277.399994,IH 94 WB MP 277.4 [JEFFERSON],2025/08/09 05:00:00+00
595413.6305,293350.180400001,2148704,Southwest,Dane,IH 94,Eastbound,Median,43.10912726,-89.07313495,251,IH 94 EB MP 251.0 [DANE],2025/08/09 05:00:00+00
596068.1002,293403.452199999,2148705,Southwest,Dane,IH 94,Westbound,Median,43.10954148,-89.06508498,251.399994,IH 94 WB MP 251.4 [DANE],2025/08/09 05:00:00+00
608819.9557,291758.542099999,2148706,Southwest,Jefferson,IH 94,Westbound,Median,43.09334416,-88.90864726,259.600006,IH 94 WB MP 259.6 [JEFFERSON],2025/08/09 05:00:00+00
623126.6066,291178.740700001,2148707,Southwest,Jefferson,IH 94,Eastbound,Median,43.08631303,-88.73300468,268.600006,IH 94 EB MP 268.6 [JEFFERSON],2025/08/09 05:00:00+00
634677.0133,290114.001599999,2148708,Southwest,Jefferson,IH 94,Westbound,Median,43.07506906,-88.59135794,276,IH 94 WB MP 276.0 [JEFFERSON],2025/08/09 05:00:00+00
632768.1384,291193.3038,2148709,Southwest,Jefferson,IH 94,Eastbound,Median,43.08507149,-88.61458002,274.600006,IH 94 EB MP 274.6 [JEFFERSON],2025/08/09 05:00:00+00
632127.2391,291196.3696,2148710,Southwest,Jefferson,IH 94,Westbound,Median,43.08519413,-88.62245097,274.200012,IH 94 WB MP 274.2 [JEFFERSON],2025/08/09 05:00:00+00
633957.2178,290751.273499999,2148711,Southwest,Jefferson,IH 94,Eastbound,Median,43.08091444,-88.60006638,275.399994,IH 94 EB MP 275.4 [JEFFERSON],2025/08/09 05:00:00+00
632451.0443,291224.307,2148712,Southwest,Jefferson,IH 94,Westbound,Median,43.08539768,-88.61846831,274.399994,IH 94 WB MP 274.4 [JEFFERSON],2025/08/09 05:00:00+00
634219.9509,290569.711100001,2148713,Southwest,Jefferson,IH 94,Westbound,Median,43.07924044,-88.59687702,275.600006,IH 94 WB MP 275.6 [JEFFERSON],2025/08/09 05:00:00+00
633686.3811,290922.252699999,2148714,Southwest,Jefferson,IH 94,Eastbound,Median,43.08249429,-88.6033576,275.200012,IH 94 EB MP 275.2 [JEFFERSON],2025/08/09 05:00:00+00
615253.329,279981.9968,2148715,Southwest,Jefferson,STH 26,Northbound,Right,42.98653704,-88.83162814,26,STH 26 NB MP 26.0 [JEFFERSON],2025/08/09 05:00:00+00
614721.2046,276014.851,2148716,Southwest,Jefferson,STH 26,Southbound,Right,42.95088613,-88.83882597,23,STH 26 SB MP 23.0 [JEFFERSON],2025/08/09 05:00:00+00
594762.2526,293340.9234,2148717,Southwest,Dane,IH 94,Westbound,Median,43.10910848,-89.08114089,250.600006,IH 94 WB MP 250.6 [DANE],2025/08/09 05:00:00+00
622865.214,298110.8189,2148718,Southwest,Jefferson,STH 26,Southbound,Right,43.14875601,-88.73493016,39,STH 26 SB MP 39.0 [JEFFERSON],2025/08/09 05:00:00+00
639341.553,289676.8715,2148719,Southeast,Waukesha,IH 94,Eastbound,Median,43.07041447,-88.53417258,279,IH 94 EB MP 279.0 [WAUKESHA],2025/08/09 05:00:00+00
615739.1859,291091.2127,2148720,Southwest,Jefferson,IH 94,Westbound,Median,43.08649383,-88.82376086,264,IH 94 WB MP 264.0 [JEFFERSON],2025/08/09 05:00:00+00
594437.1428,293337.449200001,2148721,Southwest,Dane,IH 94,Westbound,Median,43.10910921,-89.08513659,250.399994,IH 94 WB MP 250.4 [DANE],2025/08/09 05:00:00+00
595743.0589,293363.0996,2148722,Southwest,Dane,IH 94,Eastbound,Median,43.10921072,-89.06908489,251.199997,IH 94 EB MP 251.2 [DANE],2025/08/09 05:00:00+00
604059.4373,293637.282600001,2148723,Southwest,Jefferson,IH 94,Eastbound,Median,43.1108022,-88.96684693,256.399994,IH 94 EB MP 256.4 [JEFFERSON],2025/08/09 05:00:00+00
604061.6046,293675.614,2148724,Southwest,Jefferson,IH 94,Westbound,Median,43.11114708,-88.96681449,256.399994,IH 94 WB MP 256.4 [JEFFERSON],2025/08/09 05:00:00+00
639341.8807,289700.565400001,2148725,Southeast,Waukesha,IH 94,Westbound,Median,43.07062771,-88.53416348,279,IH 94 WB MP 279.0 [WAUKESHA],2025/08/09 05:00:00+00
639666.6294,289684.517000001,2148726,Southeast,Waukesha,IH 94,Eastbound,Median,43.07043209,-88.53017943,279.200012,IH 94 EB MP 279.2 [WAUKESHA],2025/08/09 05:00:00+00
603746.6236,293636.6697,2148727,Southwest,Jefferson,IH 94,Eastbound,Median,43.11083133,-88.97069113,256.200012,IH 94 EB MP 256.2 [JEFFERSON],2025/08/09 05:00:00+00
603746.3089,293669.335200001,2148728,Southwest,Jefferson,IH 94,Westbound,Median,43.11112547,-88.97069007,256.200012,IH 94 WB MP 256.2 [JEFFERSON],2025/08/09 05:00:00+00
604379.8419,293606.5704,2148729,Southwest,Jefferson,IH 94,Eastbound,Median,43.11049007,-88.96291422,256.600006,IH 94 EB MP 256.6 [JEFFERSON],2025/08/09 05:00:00+00
634449.2105,290335.923800001,2148730,Southwest,Jefferson,IH 94,Westbound,Median,43.07710127,-88.59410966,275.799988,IH 94 WB MP 275.8 [JEFFERSON],2025/08/09 05:00:00+00
622020.8399,295040.486500001,2148731,Southwest,Jefferson,STH 26,Southbound,Right,43.12122902,-88.74587716,37,STH 26 SB MP 37.0 [JEFFERSON],2025/08/09 05:00:00+00
596387.5778,293390.135600001,2148732,Southwest,Dane,IH 94,Eastbound,Median,43.10938943,-89.06116079,251.600006,IH 94 EB MP 251.6 [DANE],2025/08/09 05:00:00+00
588029.5814,293211.4955,2148733,Southwest,Dane,IH 94,Eastbound,Median,43.10857763,-89.16389502,246.399994,IH 94 EB MP 246.4 [DANE],2025/08/09 05:00:00+00
622056.3467,295022.1348,2148734,Southwest,Jefferson,STH 26,Northbound,Right,43.12105902,-88.74544416,37,STH 26 NB MP 37.0 [JEFFERSON],2025/08/09 05:00:00+00
588029.7679,293237.2629,2148735,Southwest,Dane,IH 94,Westbound,Median,43.10880962,-89.16388957,246.399994,IH 94 WB MP 246.4 [DANE],2025/08/09 05:00:00+00
588358.017,293212.472999999,2148736,Southwest,Dane,IH 94,Eastbound,Median,43.10855687,-89.15985875,246.600006,IH 94 EB MP 246.6 [DANE],2025/08/09 05:00:00+00
606181.8698,292915.624199999,2148737,Southwest,Jefferson,IH 94,Eastbound,Median,43.10406636,-88.94087701,257.799988,IH 94 EB MP 257.8 [JEFFERSON],2025/08/09 05:00:00+00
606463.1358,292787.718699999,2148738,Southwest,Jefferson,IH 94,Eastbound,Median,43.10288273,-88.93744092,258,IH 94 EB MP 258.0 [JEFFERSON],2025/08/09 05:00:00+00
602268.3355,293640.9816,2148739,Southwest,Jefferson,IH 94,Westbound,Median,43.11103214,-88.98885697,255.199997,IH 94 WB MP 255.2 [JEFFERSON],2025/08/09 05:00:00+00
608528.2744,291894.3202,2148740,Southwest,Jefferson,IH 94,Westbound,Median,43.09460073,-88.91220894,259.399994,IH 94 WB MP 259.4 [JEFFERSON],2025/08/09 05:00:00+00
592590.4478,293236.816500001,2148741,Southwest,Dane,IH 94,Eastbound,Median,43.10838233,-89.10784367,249.199997,IH 94 EB MP 249.2 [DANE],2025/08/09 05:00:00+00
592258.1947,293251.799900001,2148742,Southwest,Dane,IH 94,Westbound,Median,43.108549,-89.11192472,249,IH 94 WB MP 249.0 [DANE],2025/08/09 05:00:00+00
592590.5529,293263.1401,2148743,Southwest,Dane,IH 94,Westbound,Median,43.10861934,-89.10783894,249.199997,IH 94 WB MP 249.2 [DANE],2025/08/09 05:00:00+00
612213.183,291105.668299999,2148744,Southwest,Jefferson,IH 94,Eastbound,Median,43.08706102,-88.86707002,261.799988,IH 94 EB MP 261.8 [JEFFERSON],2025/08/09 05:00:00+00
582626.1962,302209.1865,2148745,Southwest,Dane,USH 151,Northbound,Median,43.19005914,-89.22928089,103,USH 151 NB MP 103.0 [DANE],2025/08/09 05:00:00+00
582609.3216,302229.274,2148746,Southwest,Dane,USH 151,Southbound,Median,43.19024141,-89.22948627,103,USH 151 SB MP 103.0 [DANE],2025/08/09 05:00:00+00
618621.926,291070.654300001,2148747,Southwest,Jefferson,IH 94,Eastbound,Median,43.08593926,-88.78835518,265.799988,IH 94 EB MP 265.8 [JEFFERSON],2025/08/09 05:00:00+00
628925.4605,291093.2227,2148748,Southwest,Jefferson,IH 94,Westbound,Median,43.08473227,-88.66179626,272.200012,IH 94 WB MP 272.2 [JEFFERSON],2025/08/09 05:00:00+00
629227.8751,291051.4871,2148749,Southwest,Jefferson,IH 94,Eastbound,Median,43.08431304,-88.65809014,272.399994,IH 94 EB MP 272.4 [JEFFERSON],2025/08/09 05:00:00+00
591291.7522,293247.300799999,2148750,Southwest,Dane,IH 94,Westbound,Median,43.10860006,-89.1238018,248.399994,IH 94 WB MP 248.4 [DANE],2025/08/09 05:00:00+00
587052.2433,293240.566199999,2148751,Southwest,Dane,IH 94,Eastbound,Median,43.10892651,-89.17590208,245.800003,IH 94 EB MP 245.8 [DANE],2025/08/09 05:00:00+00
587058.0442,293274.134500001,2148752,Southwest,Dane,IH 94,Westbound,Median,43.10922825,-89.17582673,245.800003,IH 94 WB MP 245.8 [DANE],2025/08/09 05:00:00+00
587703.0803,293235.775699999,2148753,Southwest,Dane,IH 94,Westbound,Median,43.1088255,-89.16790444,246.199997,IH 94 WB MP 246.2 [DANE],2025/08/09 05:00:00+00
598350.0786,293519.5985,2148754,Southwest,Dane,IH 94,Westbound,Median,43.11035464,-89.03702576,252.800003,IH 94 WB MP 252.8 [DANE],2025/08/09 05:00:00+00
609686.9591,291354.694499999,2148755,Southwest,Jefferson,IH 94,Westbound,Median,43.08960612,-88.89806128,260.200012,IH 94 WB MP 260.2 [JEFFERSON],2025/08/09 05:00:00+00
603421.8778,293633.0825,2148756,Southwest,Jefferson,IH 94,Eastbound,Median,43.11083487,-88.97468241,256,IH 94 EB MP 256.0 [JEFFERSON],2025/08/09 05:00:00+00
631483.6966,291150.6645,2148757,Southwest,Jefferson,IH 94,Eastbound,Median,43.08487757,-88.63036422,273.799988,IH 94 EB MP 273.8 [JEFFERSON],2025/08/09 05:00:00+00
580384.4259,299934.7971,2148758,Southwest,Dane,USH 151,Northbound,Median,43.16976295,-89.25711561,101,USH 151 NB MP 101.0 [DANE],2025/08/09 05:00:00+00
580369.269,299948.7853,2148759,Southwest,Dane,USH 151,Southbound,Median,43.16989011,-89.25730053,101,USH 151 SB MP 101.0 [DANE],2025/08/09 05:00:00+00
595526.6632,269426.959100001,2148760,Southwest,Dane,IH 39,Southbound,Median,42.89371351,-89.07498326,158,IH 39 SB MP 158.0 [DANE],2025/08/09 05:00:00+00
595410.2216,269736.6491,2148761,Southwest,Dane,IH 39,Northbound,Median,42.8965135,-89.07636759,157.800003,IH 39 NB MP 157.8 [DANE],2025/08/09 05:00:00+00
588688.0219,293213.6404,2148762,Southwest,Dane,IH 94,Eastbound,Median,43.10853753,-89.15580317,246.800003,IH 94 EB MP 246.8 [DANE],2025/08/09 05:00:00+00
615424.1496,291078.403200001,2148763,Southwest,Jefferson,IH 94,Eastbound,Median,43.08641822,-88.82763276,263.799988,IH 94 EB MP 263.8 [JEFFERSON],2025/08/09 05:00:00+00
615425.039,291111.604900001,2148764,Southwest,Jefferson,IH 94,Westbound,Median,43.08671702,-88.82761613,263.799988,IH 94 WB MP 263.8 [JEFFERSON],2025/08/09 05:00:00+00
596388.5563,293416.444700001,2148765,Southwest,Dane,IH 94,Westbound,Median,43.10962621,-89.06114515,251.600006,IH 94 WB MP 251.6 [DANE],2025/08/09 05:00:00+00
593246.6592,293289.504699999,2148766,Southwest,Dane,IH 94,Westbound,Median,43.10879357,-89.09977267,249.600006,IH 94 WB MP 249.6 [DANE],2025/08/09 05:00:00+00
594109.2063,293325.448000001,2148767,Southwest,Dane,IH 94,Westbound,Median,43.10903331,-89.08916817,250.199997,IH 94 WB MP 250.2 [DANE],2025/08/09 05:00:00+00
615477.0616,283111.2203,2148768,Southwest,Jefferson,STH 26,Northbound,Right,43.01468204,-88.82834914,28,STH 26 NB MP 28.0 [JEFFERSON],2025/08/09 05:00:00+00
619333.0483,291083.874600001,2148769,Southwest,Jefferson,IH 94,Eastbound,Median,43.08596545,-88.77961808,266.200012,IH 94 EB MP 266.2 [JEFFERSON],2025/08/09 05:00:00+00
600627.8583,293609.3806,2148770,Southwest,Jefferson,IH 94,Westbound,Median,43.110924,-89.00902134,254.199997,IH 94 WB MP 254.2 [JEFFERSON],2025/08/09 05:00:00+00
612533.2925,291105.2271,2148771,Southwest,Jefferson,IH 94,Eastbound,Left,43.08701805,-88.86313799,262,IH 94 EB MP 262.0 [JEFFERSON],2025/08/09 05:00:00+00
612533.7047,291131.081900001,2148772,Southwest,Jefferson,IH 94,Westbound,Median,43.08725077,-88.86312862,262,IH 94 WB MP 262.0 [JEFFERSON],2025/08/09 05:00:00+00
606482.769,292833.254799999,2148773,Southwest,Jefferson,IH 94,Westbound,Median,43.10329047,-88.93719259,258,IH 94 WB MP 258.0 [JEFFERSON],2025/08/09 05:00:00+00
614776.044,291104.7531,2148774,Southwest,Jefferson,IH 94,Eastbound,Median,43.08673674,-88.83558918,263.399994,IH 94 EB MP 263.4 [JEFFERSON],2025/08/09 05:00:00+00
614775.5282,291130.636499999,2148775,Southwest,Jefferson,IH 94,Westbound,Median,43.08696984,-88.8355911,263.399994,IH 94 WB MP 263.4 [JEFFERSON],2025/08/09 05:00:00+00
612859.6811,291130.4274,2148776,Southwest,Jefferson,IH 94,Westbound,Median,43.08720502,-88.85912456,262.200012,IH 94 WB MP 262.2 [JEFFERSON],2025/08/09 05:00:00+00
601609.1619,293628.2456,2148777,Southwest,Jefferson,IH 94,Westbound,Median,43.11098877,-88.99695938,254.800003,IH 94 WB MP 254.8 [JEFFERSON],2025/08/09 05:00:00+00
597041.0572,293447.639599999,2148778,Southwest,Dane,IH 94,Westbound,Median,43.10984101,-89.05312231,252,IH 94 WB MP 252.0 [DANE],2025/08/09 05:00:00+00
603172.7173,293658.747199999,2148779,Southwest,Jefferson,IH 94,Westbound,Median,43.11109334,-88.97774046,255.800003,IH 94 WB MP 255.8 [JEFFERSON],2025/08/09 05:00:00+00
614456.3965,291106.755100001,2148780,Southwest,Jefferson,IH 94,Eastbound,Median,43.08679466,-88.83951522,263.200012,IH 94 EB MP 263.2 [JEFFERSON],2025/08/09 05:00:00+00
612172.2882,274621.8528,2148781,Southwest,Jefferson,STH 26,Northbound,Right,42.93865705,-88.87029614,21,STH 26 NB MP 21.0 [JEFFERSON],2025/08/09 05:00:00+00
595697.8595,269141.521500001,2148782,Southwest,Dane,IH 39,Southbound,Median,42.89112645,-89.07292529,158.199997,IH 39 SB MP 158.2 [DANE],2025/08/09 05:00:00+00
596719.1698,293430.175899999,2148783,Southwest,Dane,IH 94,Westbound,Median,43.10971643,-89.05708038,251.800003,IH 94 WB MP 251.8 [DANE],2025/08/09 05:00:00+00
615099.9233,291119.9505,2148784,Southwest,Jefferson,IH 94,Westbound,Median,43.08683301,-88.83160824,263.600006,IH 94 WB MP 263.6 [JEFFERSON],2025/08/09 05:00:00+00
615098.543,291094.0074,2148785,Southwest,Jefferson,IH 94,Eastbound,Median,43.08659962,-88.83162963,263.600006,IH 94 EB MP 263.6 [JEFFERSON],2025/08/09 05:00:00+00
588920.6134,280790.627800001,2148786,Southwest,Dane,IH 39,Southbound,Median,42.99665931,-89.15448296,149.399994,IH 39 SB MP 149.4 [DANE],2025/08/09 05:00:00+00
